date,CO,NO2,SO2,O3
2026-01-18 00:00:00+00:00,0.0299375968,2.9230769230769234e-05,-0.0001,0.114496586
2026-01-19 00:00:00+00:00,0.03037606,3e-05,-0.0001,0.114462598
2026-01-20 00:00:00+00:00,0.029756301,2.8e-05,-4e-05,0.113349034
2026-01-21 00:00:00+00:00,0.029136541999999998,2.6000000000000002e-05,1.9999999999999998e-05,0.116578944
2026-01-22 00:00:00+00:00,0.028516783,2.4e-05,8e-05,0.11764996
2026-01-23 00:00:00+00:00,0.027897024,2.2e-05,0.00014,0.116465641
2026-01-24 00:00:00+00:00,0.027277265,2e-05,0.0002,0.119222712
2026-01-25 00:00:00+00:00,0.029715976,2e-05,0.0001,0.118970046
2026-01-26 00:00:00+00:00,0.028641979,2e-05,7.500000000000001e-05,0.120051517
2026-01-27 00:00:00+00:00,0.028258219,2e-05,5e-05,0.116395748
2026-01-28 00:00:00+00:00,0.027874459,2e-05,2.4999999999999998e-05,0.116251101
2026-01-29 00:00:00+00:00,0.032660468,2e-05,0.0,0.111763507
2026-01-30 00:00:00+00:00,0.035845986,4e-05,-0.0001,0.115080838
2026-01-31 00:00:00+00:00,0.028351616,4e-05,0.0001,0.113903739
2026-02-01 00:00:00+00:00,0.023425925,3.933333333333334e-05,0.0,0.117618617
2026-02-02 00:00:00+00:00,0.026300159,3.866666666666667e-05,4e-05,0.118353923
2026-02-03 00:00:00+00:00,0.031527061,3.8e-05,8e-05,0.111924528
2026-02-04 00:00:00+00:00,0.03147849566666667,3.733333333333334e-05,0.00012000000000000002,0.115685283
2026-02-05 00:00:00+00:00,0.031429930333333335,3.6666666666666666e-05,0.00016,0.112635942
2026-02-06 00:00:00+00:00,0.031381365,3.6e-05,0.0002,0.114024033
2026-02-07 00:00:00+00:00,0.0294812415,3.5333333333333336e-05,0.00015000000000000001,0.113499528
2026-02-08 00:00:00+00:00,0.027581118,3.4666666666666665e-05,0.0001,0.113766758
2026-02-09 00:00:00+00:00,0.030161696,3.4e-05,5e-05,0.115838341
2026-02-10 00:00:00+00:00,0.032742274,3.3333333333333335e-05,0.0,0.117909924
2026-02-11 00:00:00+00:00,0.033025940600000005,3.266666666666667e-05,-5.000000000000001e-05,0.115102768
2026-02-12 00:00:00+00:00,0.0333096072,3.2e-05,-0.0001,0.111979806
2026-02-13 00:00:00+00:00,0.033593273800000004,3.1333333333333334e-05,-3.3333333333333335e-05,0.113070864
2026-02-14 00:00:00+00:00,0.0338769404,3.066666666666667e-05,3.3333333333333335e-05,0.115027236
2026-02-15 00:00:00+00:00,0.034160607,3e-05,0.0001,0.111313132
2026-02-16 00:00:00+00:00,0.03329632325,3e-05,5e-05,0.112838916
2026-02-17 00:00:00+00:00,0.0324320395,3e-05,0.0,0.113082537
2026-02-18 00:00:00+00:00,0.03156775575,3e-05,0.0,0.114249367
2026-02-19 00:00:00+00:00,0.030703472,3e-05,0.0,0.114203156
2026-02-20 00:00:00+00:00,0.026624257,3e-05,0.0,0.116628309
2026-02-21 00:00:00+00:00,0.02604349783333333,3e-05,0.0,0.115002397
2026-02-22 00:00:00+00:00,0.025462738666666665,3e-05,0.0,0.115218083
2026-02-23 00:00:00+00:00,0.024881979499999998,3e-05,0.0,0.11658486
2026-02-24 00:00:00+00:00,0.024301220333333335,3e-05,0.0,0.117313301
2026-02-25 00:00:00+00:00,0.02372046116666667,3e-05,0.0,0.114278841
2026-02-26 00:00:00+00:00,0.023139702,3e-05,0.0,0.115524856
2026-02-27 00:00:00+00:00,0.025766773,3e-05,5e-05,0.115578597
2026-02-28 00:00:00+00:00,0.027337411,3e-05,0.0001,0.11336906
2026-03-01 00:00:00+00:00,0.02588786,3e-05,0.0001,0.117856835
2026-03-02 00:00:00+00:00,0.025481480666666667,3e-05,0.0001,0.116014802
2026-03-03 00:00:00+00:00,0.025075101333333332,3e-05,0.0001,0.116935571
