date,feature_index,SO2
2026-06-25T00:00:00.000Z,0,-1.4722896859590643E-5
2026-07-02T00:00:00.000Z,0,1.1413080937927589E-4
2026-07-04T00:00:00.000Z,0,-7.147558790165931E-6
2026-07-03T00:00:00.000Z,0,1.1341646131768357E-4
2026-07-01T00:00:00.000Z,0,7.273979717865586E-4
2026-06-29T00:00:00.000Z,0,6.374698750732932E-5
2026-06-30T00:00:00.000Z,0,1.6313505208624216E-4
2026-07-05T00:00:00.000Z,0,1.7833899546531028E-4
2026-06-28T00:00:00.000Z,0,3.3902089398907265E-5
2026-03-26T00:00:00.000Z,0,
2026-03-30T00:00:00.000Z,0,2.329783637833316E-5
2026-03-24T00:00:00.000Z,0,
2026-03-31T00:00:00.000Z,0,1.941225491464138E-4
2026-03-28T00:00:00.000Z,0,6.166548701003194E-5
2026-03-27T00:00:00.000Z,0,-1.1895745713748813E-4
2026-03-25T00:00:00.000Z,0,-4.072457522852346E-5
2026-03-29T00:00:00.000Z,0,5.277540950980134E-5
2026-05-02T00:00:00.000Z,0,7.880317571107298E-5
2026-04-26T00:00:00.000Z,0,-2.1890978193065772E-4
2026-04-25T00:00:00.000Z,0,-5.22661011927994E-5
2026-05-01T00:00:00.000Z,0,
2026-04-27T00:00:00.000Z,0,1.1370085000332134E-5
2026-04-29T00:00:00.000Z,0,-8.542903136306753E-6
2026-04-30T00:00:00.000Z,0,
2026-04-28T00:00:00.000Z,0,1.9032473695309213E-4
2026-04-21T00:00:00.000Z,0,-9.227696677953645E-5
2026-04-20T00:00:00.000Z,0,1.7121290147770196E-4
2026-04-19T00:00:00.000Z,0,
2026-04-22T00:00:00.000Z,0,
2026-04-18T00:00:00.000Z,0,9.953677363228053E-5
2026-04-17T00:00:00.000Z,0,6.404161104001105E-5
2026-04-24T00:00:00.000Z,0,-9.801425827996961E-5
2026-04-23T00:00:00.000Z,0,
2026-05-11T00:00:00.000Z,0,6.850937306808191E-5
2026-05-12T00:00:00.000Z,0,5.872241278363314E-5
2025-12-04T00:00:00.000Z,0,
2025-12-05T00:00:00.000Z,0,-1.734880837223803E-4
2025-12-02T00:00:00.000Z,0,
2025-12-06T00:00:00.000Z,0,
2025-12-09T00:00:00.000Z,0,
2025-12-08T00:00:00.000Z,0,3.51457954820944E-5
2025-12-03T00:00:00.000Z,0,
2025-12-07T00:00:00.000Z,0,
2026-08-10T00:00:00.000Z,0,1.3597595680039375E-4
2026-08-07T00:00:00.000Z,0,4.389569173023726E-4
2026-08-09T00:00:00.000Z,0,6.264316956124578E-5
2026-08-08T00:00:00.000Z,0,1.5147856781065153E-4
2026-08-13T00:00:00.000Z,0,1.6659504861612126E-4
2026-08-12T00:00:00.000Z,0,1.3450393453240395E-5
2026-08-11T00:00:00.000Z,0,2.2873925020879446E-4
2026-08-14T00:00:00.000Z,0,-1.4766127060283907E-4
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,-1.0163954721065238E-4
2025-10-29T00:00:00.000Z,0,-3.415771061554551E-5
2025-10-26T00:00:00.000Z,0,-7.459507226788749E-5
2025-10-28T00:00:00.000Z,0,-1.4589979982702062E-4
2025-10-30T00:00:00.000Z,0,2.5705251027829945E-4
2025-10-25T00:00:00.000Z,0,5.94735507547739E-5
2025-10-24T00:00:00.000Z,0,
2025-12-15T00:00:00.000Z,0,2.2004606580594555E-4
2025-12-10T00:00:00.000Z,0,1.073266703315312E-4
2025-12-16T00:00:00.000Z,0,-7.069789959738652E-5
2025-12-17T00:00:00.000Z,0,-3.9967526390682906E-5
2025-12-12T00:00:00.000Z,0,-5.364813250707812E-5
2025-12-13T00:00:00.000Z,0,-7.670924969715998E-5
2025-12-11T00:00:00.000Z,0,8.196226857156337E-5
2025-12-14T00:00:00.000Z,0,
2026-05-15T00:00:00.000Z,0,
2026-05-17T00:00:00.000Z,0,
2026-05-16T00:00:00.000Z,0,1.09329139604597E-4
2026-05-18T00:00:00.000Z,0,1.1705835640896112E-5
2026-05-14T00:00:00.000Z,0,
2026-05-13T00:00:00.000Z,0,-2.1832503989571705E-5
2026-07-09T00:00:00.000Z,0,-1.2112829487402148E-4
2026-07-10T00:00:00.000Z,0,1.6963476809905842E-4
2026-07-07T00:00:00.000Z,0,1.0854492271998122E-4
2026-07-08T00:00:00.000Z,0,
2026-07-11T00:00:00.000Z,0,1.521373833384132E-4
2026-07-13T00:00:00.000Z,0,2.0289261859337177E-5
2026-07-06T00:00:00.000Z,0,
2026-07-12T00:00:00.000Z,0,-1.2705948059495617E-4
2025-10-18T00:00:00.000Z,0,1.2216868344694376E-4
2025-10-19T00:00:00.000Z,0,-2.5480816354199004E-4
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,-2.803343204789144E-5
2025-10-20T00:00:00.000Z,0,
2025-10-15T00:00:00.000Z,0,1.6090343706309795E-4
2025-10-21T00:00:00.000Z,0,
2025-10-17T00:00:00.000Z,0,7.242837970503994E-5
2025-09-20T00:00:00.000Z,0,
2025-09-16T00:00:00.000Z,0,
2025-09-18T00:00:00.000Z,0,-1.1185379207745427E-5
2025-09-15T00:00:00.000Z,0,-3.37497110649565E-5
2025-09-14T00:00:00.000Z,0,2.200880044256337E-5
2025-09-19T00:00:00.000Z,0,1.2352519479463809E-5
2025-09-13T00:00:00.000Z,0,-5.493978605954908E-5
